src,dst,type
yeya16155804,dw_espanol,mention
yeya16155804,fiaheisenberg,mention
yeya16155804,oea_oficial,mention
yeya16155804,traficogt,mention
yeya16155804,vozdeamerica,mention
yeya16155804,fiaheisenberg,reply
giovanottigt,ferdymontepeque,mention
giovanottigt,traficogt,mention
giovanottigt,ferdymontepeque,reply
hellboy17oc,fdezgmo,mention
hellboy17oc,patriziiamf,mention
hellboy17oc,traficogt,mention
hellboy17oc,patriziiamf,reply
jfrank1976,traficogt,mention
jfrank1976,traficogt,reply
idelettep,prensacomunitar,mention
idelettep,traficogt,mention
idelettep,prensacomunitar,reply
idelettep,prensacomunitar,mention
idelettep,traficogt,mention
idelettep,prensacomunitar,reply
vivix_023,ferdymontepeque,mention
vivix_023,traficogt,mention
vivix_023,ferdymontepeque,reply
laviejaalegona1,jlfont001,mention
laviejaalegona1,traficogt,mention
laviejaalegona1,jlfont001,reply
shuteelpobre,traficogt,mention
shuteelpobre,traficogt,reply
patty230767,prensacomunitar,mention
patty230767,traficogt,mention
patty230767,prensacomunitar,reply
rosalesfelipao,traficogt,mention
rosalesfelipao,traficogt,reply
josscarrera16,traficogt,mention
josscarrera16,traficogt,reply
dannyalarcon160,noficciongt,mention
dannyalarcon160,traficogt,mention
dannyalarcon160,noficciongt,reply
kicketay,jovannagarcon,mention
kicketay,traficogt,mention
kicketay,jovannagarcon,reply
pfacticos,gabriel_vides,mention
pfacticos,traficogt,mention
pfacticos,gabriel_vides,reply
jorgephilips2,noficciongt,mention
jorgephilips2,traficogt,mention
jorgephilips2,noficciongt,reply
jacoboyojana,jovannagarcon,mention
jacoboyojana,traficogt,mention
jacoboyojana,jovannagarcon,reply
mcampie,jovannagarcon,mention
mcampie,traficogt,mention
mcampie,jovannagarcon,reply
veronic87340138,jovannagarcon,mention
veronic87340138,traficogt,mention
veronic87340138,jovannagarcon,reply
_covidiano,chemae7,mention
_covidiano,traficogt,mention
_covidiano,chemae7,reply
_krefeh,jovannagarcon,mention
_krefeh,mingobguate,mention
_krefeh,mpguatemala,mention
_krefeh,traficogt,mention
_krefeh,jovannagarcon,reply
osbelibravo,jovannagarcon,mention
osbelibravo,traficogt,mention
osbelibravo,jovannagarcon,reply
coloma_jorge,noficciongt,mention
coloma_jorge,traficogt,mention
coloma_jorge,noficciongt,reply
estuilozano69,jovannagarcon,mention
estuilozano69,traficogt,mention
estuilozano69,jovannagarcon,reply
yankees20051968,drgiammattei,mention
yankees20051968,granillocarlos,mention
yankees20051968,guatemalagob,mention
yankees20051968,traficogt,mention
yankees20051968,granillocarlos,reply
pholitaw,drgiammattei,mention
